"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24508591166203","7.81443171889218","6.66662183020206","1.15446939174406","4.51406203251221","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","","","","","",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64947352511378","8.14974570911617","7.78846541379019","5.61878578419564","0.542203244600927","3.30379145669799","2.8385743071822","1.46300341337707","0.0415465175962453","2.20872814445995","-0.132468704037109","1.2464617331128","1.77011580714547","1.78468756916818","2.32143585364256","3.25332168107117","5.54712259348614","5.09432423152256","4.82703027768122","3.78139347786571","2.5460006409028","0.929215382800635","-1.03149171388253","2.38319527748523","2.75749397727871","4.64974195875239","9.06767396402162","3.19478796475394","4.09908114794871","1.1657870643787","11.7702727457095","5.87430230796831","6.75438545079258","6.4848101160425","5.91786270005092","6.78993514743607","1.42807150014745","3.5707371859081","","","","","","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226165","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524","1.93414282770806","",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","2.79999999999994","7.90000000000049","5.59999999999945","0.40000000000029","-0.300000000000111","-1.19999999999966","-6.89999999999985","-24.7000000000001","3.5000000064519","10.4000000010499","11.1999999707572","7.90000002215511","6.80476210543193","3.23979967713835","3.01207616575125","4.22096515556314","13.8217925122883","5.24756962371438","10.8794650593878","18.2614736843587","20.7351248827892","22.5930542991417","13.8171458087553","2.41286969254453","3.40765479391563","3.91859698579799","5.15544054479086","6.80005848160971","",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563526610046","2.94859680232926","1.10493826600208","-1.2515966439428","1.78064395791651","5.63724319559968","-0.787842648708576","-1.42003967816667","9.83654899260354","-9.57564018741698","-29.5889976817695","-7.1999999865087","9.60000001192864","8.29999999672634","13.2999999863387","9.09999999636193","-10.2","12.7000000042439","10.0999999810463","7.30000002331434","6.99999998459371","2.90000000002482","5.70000000195414","5.90000001342065","5.49991193261015","5.00001021452547","5.90010389630604","7.53629898272825","3.35423931223828","3.70690567185497","2.54535948879222","1.62369860075293","1.41742327835152","",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","12.9875508067714","8.36046754175676","1.68525779235719","10.3262433298376","9.56414901247697","4.15265320325602","-3.93616562796517","-2.99118998517227","1.47296916196666","-0.245577717837719","0.500652447532829","0.0313355947192235","4.36060389822002","1.90021977382028","9.74116676570824","1.39627419714165","4.89568262126929","3.61380935206836","3.53530298266402","2.72599735761257","4.78238159189436","4.88556996107366","4.91388167825744","2.28557103886003","5.06744874863591","2.2770245227659","1.7915445651487","5.21328273864643","9.12313975172663","6.14483323268986","7.20380260332909","5.70870736399722","6.20606502087948","1.74133895549396","5.24000221385191","3.32891573139923","6.19641037925523","3.35213598231705","",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268564643939","21.4393301732154","-1.58960328317362","20.9235730768161","23.8747748783385","4.65917667875149","-6.71931618677195","-4.74582071203152","4.01695129496449","-3.59447653037071","-14.9581365392874","3.3819816976965","-2.61890772013091","12.3378913137169","18.3279854910714","0.860081940637485","3.34494488409855","1.26119094883428","6.89614853962527","6.68788647765714","5.79840404627245","8.19039866658926","0.291994339250806","2.90221364865016","10.8527042078314","1.39908502292656","2.43345681395483","8.80054081702856","9.56643664256454","4.8551411953047","9.8373197726593","3.18439017418304","3.19183865658358","-5.24293299775943","1.63542017568862","4.88531664207383","4.67792545056405","5.19997987429173","",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951257","-0.852021523481966","-5.30819682651754","10.1302976614339","10.569433340343","-0.65972617159396","3.19199662337057","4.82250078158644","9.67952600806881","3.04564331900352","5.65813108318032","1.62841651625489","2.81175404095775","5.53380439483236","-0.0284121027669499","-2.01825151667593","6.93414775537995","-4.50612480247693","10.2227634648727","4.15176234244558","-5.68952800019458","-4.9571785190403","3.8751234240092","2.21177350377226","-7.58667718413523","7.87577983041497","2.90999313057094","-2.55690487694628","-7.49618958372456","-2.39895921890113","12.6697100866108","11.9407747350581","5.90691950110394","5.83620069792465","-2.84520961517045","5.52668982269249","8.1110467739709","3.85017886550901","-3.38545705440345","-0.788998929008557","-4.40883969595698","-10.8944848114851","8.83704077566954","9.02957332125899","9.19848898286102","8.36392440358115","8.00289098766326","3.10211325487263","0.0505127823138736","9.13624201460897","8.55491274892566","0.946197195111154","2.92527252678821","",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984817524","-41.8000027485614","-8.79999879239085","5.40000279013701","6.89999840719999","5.86540074820616","3.32107969582276","7.3","3.30000000000001","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227","3.49999999720714","",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
